booktitle,author,key,title
,James Bailey,journals/percom/BhattacharyaKB15,Automatically recognizing places of interest from unreliable GPS data using spatio-temporal density estimation and line intersections.
INTERSPEECH,Chang D. Yoo,conf/interspeech/JoJY10,Melody pitch estimation based on range estimation and candidate extraction using harmonic structure model.
DEBS,Alejandro P. Buchmann,conf/debs/SalvucciCB07,A practical approach for enabling online analysis of event streams.
CIKM,Christian Bauckhage,conf/cikm/WahabzadaKPB11,More influence means less work: fast latent dirichlet allocation by influence scheduling.
,Teodor C. Przymusinski,journals/tocl/BrassDP04,Super logic programs.
IJCAI,Shuchin Aeron,conf/ijcai/ZhangA16,Denoising and Completion of 3D Data via Multidimensional Dictionary Learning.
STACS,Thomas Schwentick,conf/stacs/MarionS10a,Table of Contents - 27th International Symposium on Theoretical Aspects of Computer Science.
EICS,Marta Sabou,conf/eics/ScharlHWWLS12,Extraction and interactive exploration of knowledge from aggregated news and social media content.
ISWC,Thad Starner,conf/iswc/JacksonZVMMDBEHKS13,FIDO - facilitating interactions for dogs with occupations: wearable dog-activated interfaces.
CVPR,Rama Chellappa,conf/cvpr/BurlinaC94,Time-to-X: analysis of motion through temporal parameters.
"Color Imaging: Displaying, Processing, Hardcopy, and Applications",Yu Wang,conf/clrimg/ParramanW09,Printability beyond the limits: Alternative double printing method for inkjet.
UMAP,Mária Bieliková,conf/um/LabajB13,Tabbed Browsing Behavior as a Source for User Modeling.
AISTATS,Jeff A. Bilmes,journals/jmlr/AndrewB12,Memory-efficient inference in dynamic graphical models using multiple cores.
Machine Intelligence 15,Hiroshi Motoda,conf/mi/YoshidaM95,"Tables, Graphs and Logic for Induction."
,Dit-Yan Yeung,journals/corr/abs-1203-3535,Multi-Domain Collaborative Filtering
